HCR 0000000080000000 
CURRENT_EL 0000000000000008 
g4096_el1_a2_L3_k0_u1_cross0.ttbr0 00000000400a4000 
g4096_el1_a2_L3_k0_u1_cross0.ttbr1 0000000040094000 
g4096_el1_a2_L3_k0_u1_cross0.tcr 0000000080100010 
g4096_el1_a2_L3_k0_u1_cross0.va ffff000000000231 
g4096_el1_a2_L3_k0_u1_cross0.access 0000000000000002 
g4096_el1_a2_L3_k0_u1_cross0.target_el 0000000000000001 
g4096_el1_a2_L3_k0_u1_cross0.sctlr 0000000030d00803 
g4096_el1_a2_L3_k0_u1_cross0.mair 0000000000000044 
g4096_el1_a2_L3_k0_u1_cross0.table0 0000000040094000 
g4096_el1_a2_L3_k0_u1_cross0.value0 0000000040098003 
g4096_el1_a2_L3_k0_u1_cross0.table1 0000000040098000 
g4096_el1_a2_L3_k0_u1_cross0.value1 000000004009c003 
g4096_el1_a2_L3_k0_u1_cross0.table2 000000004009c000 
g4096_el1_a2_L3_k0_u1_cross0.value2 00000000400a0003 
g4096_el1_a2_L3_k0_u1_cross0.table3 00000000400a0000 
g4096_el1_a2_L3_k0_u1_cross0.value3 00000000400b4403 
g4096_el1_a2_L3_k0_u1_cross0.second_page 0000000000000000 
g4096_el1_a2_L3_k0_u1_cross0 000000008a000000 ffff000000000231 ffff000000000231 0000000000000001 00000000000003c5 0000000000000004 ffff000000000231 ffff000000000231 
g4096_el1_a2_L3_k0_u0_cross0.ttbr0 00000000400a4000 
g4096_el1_a2_L3_k0_u0_cross0.ttbr1 0000000040094000 
g4096_el1_a2_L3_k0_u0_cross0.tcr 0000000080100010 
g4096_el1_a2_L3_k0_u0_cross0.va ffff000000000230 
g4096_el1_a2_L3_k0_u0_cross0.access 0000000000000002 
g4096_el1_a2_L3_k0_u0_cross0.target_el 0000000000000001 
g4096_el1_a2_L3_k0_u0_cross0.sctlr 0000000030d00803 
g4096_el1_a2_L3_k0_u0_cross0.mair 0000000000000044 
g4096_el1_a2_L3_k0_u0_cross0.table0 0000000040094000 
g4096_el1_a2_L3_k0_u0_cross0.value0 0000000040098003 
g4096_el1_a2_L3_k0_u0_cross0.table1 0000000040098000 
g4096_el1_a2_L3_k0_u0_cross0.value1 000000004009c003 
g4096_el1_a2_L3_k0_u0_cross0.table2 000000004009c000 
g4096_el1_a2_L3_k0_u0_cross0.value2 00000000400a0003 
g4096_el1_a2_L3_k0_u0_cross0.table3 00000000400a0000 
g4096_el1_a2_L3_k0_u0_cross0.value3 00000000400b4403 
g4096_el1_a2_L3_k0_u0_cross0.second_page 0000000000000000 
g4096_el1_a2_L3_k0_u0_cross0 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000000003c5 0000000000000004 ffff000000000230 ffff000000000230 
g4096_el1_a2_L3_k1_u0_cross0.ttbr0 00000000400a4000 
g4096_el1_a2_L3_k1_u0_cross0.ttbr1 0000000040094000 
g4096_el1_a2_L3_k1_u0_cross0.tcr 0000000080100010 
g4096_el1_a2_L3_k1_u0_cross0.va ffff000000000230 
g4096_el1_a2_L3_k1_u0_cross0.access 0000000000000002 
g4096_el1_a2_L3_k1_u0_cross0.target_el 0000000000000001 
g4096_el1_a2_L3_k1_u0_cross0.sctlr 0000000030d00803 
g4096_el1_a2_L3_k1_u0_cross0.mair 0000000000000044 
g4096_el1_a2_L3_k1_u0_cross0.table0 0000000040094000 
g4096_el1_a2_L3_k1_u0_cross0.value0 0000000040098003 
g4096_el1_a2_L3_k1_u0_cross0.table1 0000000040098000 
g4096_el1_a2_L3_k1_u0_cross0.value1 000000004009c003 
g4096_el1_a2_L3_k1_u0_cross0.table2 000000004009c000 
g4096_el1_a2_L3_k1_u0_cross0.value2 00000000400a0003 
g4096_el1_a2_L3_k1_u0_cross0.table3 00000000400a0000 
g4096_el1_a2_L3_k1_u0_cross0.value3 0000000000000000 
g4096_el1_a2_L3_k1_u0_cross0.second_page 0000000000000000 
g4096_el1_a2_L3_k1_u0_cross0 0000000086000007 ffff000000000230 ffff000000000230 0000000000000001 00000000000003c5 0000000000000004 ffff000000000230 ffff000000000230 
g4096_el1_a2_L3_k2_u0_cross0.ttbr0 00000000400a4000 
g4096_el1_a2_L3_k2_u0_cross0.ttbr1 0000000040094000 
g4096_el1_a2_L3_k2_u0_cross0.tcr 0000000080100010 
g4096_el1_a2_L3_k2_u0_cross0.va ffff000000000230 
g4096_el1_a2_L3_k2_u0_cross0.access 0000000000000002 
g4096_el1_a2_L3_k2_u0_cross0.target_el 0000000000000001 
g4096_el1_a2_L3_k2_u0_cross0.sctlr 0000000030d00803 
g4096_el1_a2_L3_k2_u0_cross0.mair 0000000000000044 
g4096_el1_a2_L3_k2_u0_cross0.table0 0000000040094000 
g4096_el1_a2_L3_k2_u0_cross0.value0 0000000040098003 
g4096_el1_a2_L3_k2_u0_cross0.table1 0000000040098000 
g4096_el1_a2_L3_k2_u0_cross0.value1 000000004009c003 
g4096_el1_a2_L3_k2_u0_cross0.table2 000000004009c000 
g4096_el1_a2_L3_k2_u0_cross0.value2 00000000400a0003 
g4096_el1_a2_L3_k2_u0_cross0.table3 00000000400a0000 
g4096_el1_a2_L3_k2_u0_cross0.value3 00000000400b4003 
g4096_el1_a2_L3_k2_u0_cross0.second_page 0000000000000000 
