HCR 0000000080000000 
CURRENT_EL 0000000000000008 
4096_L0_kind0_access0.ttbr0 00000000400a4000 
4096_L0_kind0_access0.ttbr1 0000000040094000 
4096_L0_kind0_access0.tcr 0000000080100010 
4096_L0_kind0_access0.va ffff000000000230 
4096_L0_kind0_access0.access 0000000000000000 
4096_L0_kind0_access0.table0 0000000040094000 
4096_L0_kind0_access0.value0 0000000040098003 
4096_L0_kind0_access0.table1 0000000040098000 
4096_L0_kind0_access0.value1 000000004009c003 
4096_L0_kind0_access0.table2 000000004009c000 
4096_L0_kind0_access0.value2 00000000400a0003 
4096_L0_kind0_access0.table3 00000000400a0000 
4096_L0_kind0_access0.value3 0000000000000000 
4096_L0_kind0_access0 0000000096000007 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L0_kind6_access0.ttbr0 00000000400a4000 
4096_L0_kind6_access0.ttbr1 0000000040094000 
4096_L0_kind6_access0.tcr 0000000080100010 
4096_L0_kind6_access0.va ffff000000000230 
4096_L0_kind6_access0.access 0000000000000000 
4096_L0_kind6_access0.table0 0000000040094000 
4096_L0_kind6_access0.value0 0000000100000003 
4096_L0_kind6_access0.table1 0000000040098000 
4096_L0_kind6_access0.value1 000000004009c003 
4096_L0_kind6_access0.table2 000000004009c000 
4096_L0_kind6_access0.value2 00000000400a0003 
4096_L0_kind6_access0.table3 00000000400a0000 
4096_L0_kind6_access0.value3 0000000000000000 
4096_L0_kind6_access0 0000000096000000 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L0_kind2_access0.ttbr0 00000000400a4000 
4096_L0_kind2_access0.ttbr1 0000000040094000 
4096_L0_kind2_access0.tcr 0000000080100010 
4096_L0_kind2_access0.va ffff000000000230 
4096_L0_kind2_access0.access 0000000000000000 
4096_L0_kind2_access0.table0 0000000040094000 
4096_L0_kind2_access0.value0 0000000000000401 
4096_L0_kind2_access0.table1 0000000040098000 
4096_L0_kind2_access0.value1 000000004009c003 
4096_L0_kind2_access0.table2 000000004009c000 
4096_L0_kind2_access0.value2 00000000400a0003 
4096_L0_kind2_access0.table3 00000000400a0000 
4096_L0_kind2_access0.value3 0000000000000000 
4096_L0_kind2_access0 0000000096000004 ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L1_kind0_access0.ttbr0 00000000400a4000 
4096_L1_kind0_access0.ttbr1 0000000040094000 
4096_L1_kind0_access0.tcr 0000000080100010 
4096_L1_kind0_access0.va ffff000000000230 
4096_L1_kind0_access0.access 0000000000000000 
4096_L1_kind0_access0.table0 0000000040094000 
4096_L1_kind0_access0.value0 0000000040098003 
4096_L1_kind0_access0.table1 0000000040098000 
4096_L1_kind0_access0.value1 0000000000000000 
4096_L1_kind0_access0.table2 000000004009c000 
4096_L1_kind0_access0.value2 00000000400a0003 
4096_L1_kind0_access0.table3 00000000400a0000 
4096_L1_kind0_access0.value3 0000000000000000 
