FEATURES 0100032310201126
HCR 0000000080000000
CURRENT_EL 0000000000000008
4K_TTBR0_invalid0_L0.ttbr0 0000000040094000
4K_TTBR0_invalid0_L0.ttbr1 0000000040094000
4K_TTBR0_invalid0_L0.tcr 0000000080100010
4K_TTBR0_invalid0_L0.va 0000000000000234
4K_TTBR0_invalid0_L0.access 0000000000000000
4K_TTBR0_invalid0_L0.table0 0000000040094000
4K_TTBR0_invalid0_L0.value0 0000000000000000
4K_TTBR0_invalid0_L0.table1 0000000040098000
4K_TTBR0_invalid0_L0.value1 000000004009c003
4K_TTBR0_invalid0_L0.table2 000000004009c000
4K_TTBR0_invalid0_L0.value2 00000000400a0003
4K_TTBR0_invalid0_L0.table3 00000000400a0000
4K_TTBR0_invalid0_L0.value3 0000000000000000
4K_TTBR0_invalid0_L0 0000000000000809
4K_TTBR0_invalid1_L0.ttbr0 0000000040094000
4K_TTBR0_invalid1_L0.ttbr1 0000000040094000
4K_TTBR0_invalid1_L0.tcr 0000000080100010
4K_TTBR0_invalid1_L0.va 0000000000000234
4K_TTBR0_invalid1_L0.access 0000000000000000
4K_TTBR0_invalid1_L0.table0 0000000040094000
4K_TTBR0_invalid1_L0.value0 0000000000000002
4K_TTBR0_invalid1_L0.table1 0000000040098000
4K_TTBR0_invalid1_L0.value1 000000004009c003
4K_TTBR0_invalid1_L0.table2 000000004009c000
4K_TTBR0_invalid1_L0.value2 00000000400a0003
4K_TTBR0_invalid1_L0.table3 00000000400a0000
4K_TTBR0_invalid1_L0.value3 0000000000000000
4K_TTBR0_invalid1_L0 0000000000000809
4K_TTBR1_invalid0_L0.ttbr0 0000000040094000
4K_TTBR1_invalid0_L0.ttbr1 0000000040094000
4K_TTBR1_invalid0_L0.tcr 0000000080100010
4K_TTBR1_invalid0_L0.va ffff000000000234
4K_TTBR1_invalid0_L0.access 0000000000000000
4K_TTBR1_invalid0_L0.table0 0000000040094000
4K_TTBR1_invalid0_L0.value0 0000000000000000
4K_TTBR1_invalid0_L0.table1 0000000040098000
4K_TTBR1_invalid0_L0.value1 000000004009c003
4K_TTBR1_invalid0_L0.table2 000000004009c000
4K_TTBR1_invalid0_L0.value2 00000000400a0003
4K_TTBR1_invalid0_L0.table3 00000000400a0000
4K_TTBR1_invalid0_L0.value3 0000000000000000
4K_TTBR1_invalid0_L0 0000000000000809
4K_TTBR1_invalid1_L0.ttbr0 0000000040094000
4K_TTBR1_invalid1_L0.ttbr1 0000000040094000
4K_TTBR1_invalid1_L0.tcr 0000000080100010
4K_TTBR1_invalid1_L0.va ffff000000000234
4K_TTBR1_invalid1_L0.access 0000000000000000
4K_TTBR1_invalid1_L0.table0 0000000040094000
4K_TTBR1_invalid1_L0.value0 0000000000000002
4K_TTBR1_invalid1_L0.table1 0000000040098000
4K_TTBR1_invalid1_L0.value1 000000004009c003
4K_TTBR1_invalid1_L0.table2 000000004009c000
4K_TTBR1_invalid1_L0.value2 00000000400a0003
4K_TTBR1_invalid1_L0.table3 00000000400a0000
4K_TTBR1_invalid1_L0.value3 0000000000000000
4K_TTBR1_invalid1_L0 0000000000000809
4K_reserved_block_L0.ttbr0 0000000040094000
4K_reserved_block_L0.ttbr1 0000000040094000
4K_reserved_block_L0.tcr 0000000080100010
4K_reserved_block_L0.va 0000000000000234
4K_reserved_block_L0.access 0000000000000000
4K_reserved_block_L0.table0 0000000040094000
4K_reserved_block_L0.value0 0000000000000401
4K_reserved_block_L0.table1 0000000040098000
4K_reserved_block_L0.value1 000000004009c003
4K_reserved_block_L0.table2 000000004009c000
4K_reserved_block_L0.value2 00000000400a0003
4K_reserved_block_L0.table3 00000000400a0000
4K_reserved_block_L0.value3 0000000000000000
4K_reserved_block_L0 0000000000000809
4K_table_PA32_L0.ttbr0 0000000040094000
4K_table_PA32_L0.ttbr1 0000000040094000
4K_table_PA32_L0.tcr 0000000080100010
4K_table_PA32_L0.va 0000000000000234
4K_table_PA32_L0.access 0000000000000000
4K_table_PA32_L0.table0 0000000040094000
4K_table_PA32_L0.value0 0000000100000003
4K_table_PA32_L0.table1 0000000040098000
4K_table_PA32_L0.value1 000000004009c003
4K_table_PA32_L0.table2 000000004009c000
4K_table_PA32_L0.value2 00000000400a0003
4K_table_PA32_L0.table3 00000000400a0000
4K_table_PA32_L0.value3 0000000000000000
4K_table_PA32_L0 0000000000000801
4K_TTBR0_invalid0_L1.ttbr0 0000000040094000
4K_TTBR0_invalid0_L1.ttbr1 0000000040094000
4K_TTBR0_invalid0_L1.tcr 0000000080100010
4K_TTBR0_invalid0_L1.va 0000000000000234
4K_TTBR0_invalid0_L1.access 0000000000000000
4K_TTBR0_invalid0_L1.table0 0000000040094000
4K_TTBR0_invalid0_L1.value0 0000000040098003
4K_TTBR0_invalid0_L1.table1 0000000040098000
4K_TTBR0_invalid0_L1.value1 0000000000000000
4K_TTBR0_invalid0_L1.table2 000000004009c000
4K_TTBR0_invalid0_L1.value2 00000000400a0003
4K_TTBR0_invalid0_L1.table3 00000000400a0000
4K_TTBR0_invalid0_L1.value3 0000000000000000
4K_TTBR0_invalid0_L1 000000000000080b
4K_TTBR0_invalid1_L1.ttbr0 0000000040094000
4K_TTBR0_invalid1_L1.ttbr1 0000000040094000
4K_TTBR0_invalid1_L1.tcr 0000000080100010
4K_TTBR0_invalid1_L1.va 0000000000000234
4K_TTBR0_invalid1_L1.access 0000000000000000
4K_TTBR0_invalid1_L1.table0 0000000040094000
